Index,DEGREE
0,PHD
1, PH.D.
2, POST DOC
3,POST GRADUATE DIPLOMA IN DATA SCIENCE
4,PG DIPLOMA IN DATA SCIENCE
5,PG DIPLOMA IN DATA ANALYTICS
6,PGDBA
7,PG DIPLOMA
8,PGPX
9,PGP
10,MASTER OF BUSINESS ANALYTICS
11,M.B.A.
12,MBA
13,MASTER OF BUSINESS ADMINISTRATION
14,M.C.A.
15,MCA
16,MASTER OF COMPUTER APPLICATION
17,MASTER OF ENGINEERING
18,MSC
19,M.S.
20,M.SC
21,MASTER OF SCIENCE
22,M.TECH
23,MTECH
24,MASTER OF TECHNOLOGY
25,B.TECH
26,BTECH
27,BACHELOR OF TECHNOLOGY
28, B.E.
29,BACHELOR OF ENGINEERING
30,BCOM
31,B.COM
32,BACHELOR OF COMMERCE
33,B.B.A.
34,BBA
35,BACHELOR OF BUSINESS ADMINISTRATION
36, B.SC
37, BSC
38, BACHELOR OF SCIENCE
